metaheuristic,instance,mean_total_time,median_total_time,min_total_time,max_total_time,std_total_time,num_executions,best_final_fitness,mean_final_fitness,std_final_fitness,avg_population,avg_max_iterations
GWO,scp65,10.63,10.608,10.29,10.878,0.135,50,180.0,183.68,1.203,10.0,20.0
GWO,scpa1,80.102,80.07,77.107,82.489,1.327,50,274.0,278.04,2.166,10.0,20.0
GWO,scpa2,75.944,75.876,72.89,78.155,1.253,50,270.0,274.18,2.027,10.0,20.0
GWO,scpa3,77.664,77.646,75.027,80.195,1.372,50,250.0,255.16,2.402,10.0,20.0
GWO,scpa4,94.447,99.224,74.331,108.712,11.843,50,257.0,265.98,3.554,10.0,20.0
GWO,scpa5,88.83,89.024,86.541,91.101,1.171,50,257.0,262.88,3.685,10.0,20.0
GWO,scpb1,42.052,42.025,40.759,44.368,0.693,50,71.0,72.28,0.858,10.0,20.0
GWO,scpb2,42.694,42.25,40.662,45.354,1.49,50,79.0,81.3,1.182,10.0,20.0
GWO,scpb3,40.507,40.421,39.408,41.94,0.605,50,82.0,82.96,0.638,10.0,20.0
GWO,scpb4,42.521,42.52,40.506,44.178,0.645,50,82.0,84.42,1.214,10.0,20.0
GWO,scpb5,39.512,39.226,38.318,41.849,0.806,50,73.0,75.4,0.948,10.0,20.0
GWO,scpc1,166.508,166.188,161.576,171.171,2.178,50,245.0,251.88,1.976,10.0,20.0
GWO,scpc2,163.488,163.445,158.83,168.41,2.085,50,238.0,244.66,2.228,10.0,20.0
GWO,scpc3,148.39,147.834,143.302,158.935,2.999,50,257.0,260.66,2.172,10.0,20.0
GWO,scpc4,188.202,205.06,151.834,226.075,29.825,50,242.0,248.56,2.844,10.0,20.0
GWO,scpc5,157.345,157.419,153.665,161.276,1.933,50,227.0,229.92,1.085,10.0,20.0
GWO,scpd1,74.616,74.488,72.701,77.373,1.207,50,63.0,65.58,1.032,10.0,20.0
GWO,scpd2,76.745,76.786,74.451,79.643,1.144,50,68.0,69.06,0.682,10.0,20.0
GWO,scpd3,77.57,77.494,74.637,80.354,0.941,50,76.0,78.32,1.133,10.0,20.0
GWO,scpd4,84.619,84.548,81.104,88.122,1.621,50,63.0,65.62,1.413,10.0,20.0
GWO,scpd5,83.279,83.395,80.368,85.98,1.339,50,64.0,67.48,1.199,10.0,20.0
GWO,scpnre1,79.403,79.398,75.109,85.71,2.459,50,29.0,29.38,0.49,10.0,20.0
GWO,scpnre2,76.058,76.021,73.078,78.922,1.396,50,31.0,32.38,0.697,10.0,20.0
GWO,scpnre3,71.431,69.57,63.429,81.538,5.811,50,27.0,28.02,0.247,10.0,20.0
GWO,scpnre4,75.836,75.379,72.929,79.685,1.534,50,29.0,29.62,0.567,10.0,20.0
GWO,scpnre5,92.591,92.538,81.556,102.018,3.953,50,28.0,28.4,0.495,10.0,20.0
GWO,scpnrf1,37.652,37.698,35.822,39.129,0.755,50,14.0,14.24,0.431,10.0,20.0
GWO,scpnrf2,41.265,41.006,39.627,45.522,1.006,50,15.0,15.18,0.388,10.0,20.0
GWO,scpnrf3,39.774,39.687,37.459,42.683,1.04,50,14.0,14.92,0.274,10.0,20.0
GWO,scpnrf4,36.518,36.599,34.874,37.966,0.654,50,14.0,14.58,0.499,10.0,20.0
GWO,scpnrf5,34.161,34.084,32.707,37.367,0.895,50,14.0,14.0,0.0,10.0,20.0
GWO,scpnrg1,1427.017,1362.222,1199.568,1775.847,165.549,50,189.0,195.42,2.129,10.0,20.0
GWO,scpnrg2,1357.559,1345.289,1142.198,1597.591,114.146,50,167.0,170.86,1.37,10.0,20.0
GWO,scpnrg3,1397.609,1391.777,1330.55,1477.339,29.097,49,183.0,184.592,1.079,10.0,20.0
GWO,scpnrg4,1348.588,1372.963,1271.885,1414.101,48.139,50,185.0,187.42,1.401,10.0,20.0
GWO,scpnrg5,1345.888,1379.956,1198.824,1535.886,84.808,50,183.0,186.7,1.474,10.0,20.0
GWO,scpnrh1,579.731,582.018,527.402,630.084,23.518,50,67.0,69.6,0.857,10.0,20.0
GWO,scpnrh2,547.751,531.464,499.701,725.643,48.15,50,68.0,70.32,0.844,10.0,20.0
GWO,scpnrh3,563.864,557.832,534.135,620.16,20.813,50,63.0,65.24,0.96,10.0,20.0
GWO,scpnrh4,546.703,542.442,523.581,599.92,16.255,50,62.0,63.96,0.856,10.0,20.0
GWO,scpnrh5,555.986,554.5,529.066,605.192,13.448,50,58.0,60.02,0.915,10.0,20.0
