metaheuristic,instance,mean_iter_time,median_iter_time,min_iter_time,max_iter_time,std_iter_time,total_iterations,best_fitness,mean_fitness,std_fitness
GWO,scpnre3,3.569,4.458,0.353,6.913,1.939,1000,27.0,3093.049,7409.326
GWO,scpnre4,3.789,5.036,0.352,6.059,2.076,1000,29.0,3092.619,7395.745
GWO,scpnre5,4.627,6.065,0.373,7.999,2.539,1000,28.0,3059.076,7328.129
GWO,scpnrf1,1.88,2.449,0.349,3.133,0.979,1000,14.0,3031.338,7340.042
GWO,scpnrf2,2.061,2.709,0.351,3.488,1.109,1000,15.0,3088.099,7447.286
GWO,scpnrf3,1.986,2.582,0.349,3.365,1.06,1000,14.0,3123.433,7516.093
GWO,scpnrf4,1.823,2.351,0.351,2.967,0.944,1000,14.0,3112.707,7477.318
GWO,scpnrf5,1.705,2.165,0.351,2.921,0.865,1000,14.0,3195.725,7697.238
GWO,scpnrg1,71.346,84.941,0.852,176.31,39.115,1000,189.0,6417.199,14870.564
GWO,scpnrg2,67.873,84.441,0.835,114.075,35.585,1000,167.0,6338.86,14783.13
GWO,scpnrg3,69.852,91.543,0.887,106.887,36.508,997,183.0,6429.333,14937.695
GWO,scpnrg4,67.424,86.4,0.893,98.87,34.947,1000,185.0,6453.786,15011.735
GWO,scpnrg5,67.288,83.443,0.858,111.566,35.222,1000,183.0,6376.825,14871.424
GWO,scpnrh1,28.981,38.433,0.88,49.14,16.8,1000,67.0,6339.289,15036.596
GWO,scpnrh2,27.382,35.842,0.841,57.355,16.174,1000,68.0,6313.63,14965.244
GWO,scpnrh3,28.188,37.863,0.888,49.506,16.331,1000,63.0,6244.204,14813.354
GWO,scpnrh4,27.33,36.962,0.891,44.082,15.781,1000,62.0,6238.356,14812.805
GWO,scpnrh5,27.794,37.94,0.894,45.982,16.195,1000,58.0,6257.043,14803.554
